㐷	傌
傧	儐
储	儲
傩	儺
僵	僵 殭
儿	兒
兑	兌
兖	兗
党	黨 党
兰	蘭
关	關 𨳡
兴	興 𦥷
兹	茲 𢆶
养	養
兽	獸
冁	囅
内	內
冈	岡 𡶬
册	冊 𠕋
写	寫
军	軍
农	辳
冬	冬 鼕
冯	馮
冲	衝 沖
决	決
况	況
冻	凍
净	淨
凄	悽 淒
准	準 准
凉	涼
减	減
凑	湊
凛	凜
几	幾 几
凤	鳳 𢐴
凫	鳧
凭	憑
凯	凱
凶	兇 凶
出	出 齣
击	毄
凿	鑿
刍	芻
划	劃 划
刘	劉
则	則 𠟭
创	創 刅
删	刪
别	別 𠛰 彆
刬	剗
刭	剄
刮	刮 颳
制	制 製
刽	劊
刾	㓨
刿	劌
剀	剴
刹	剎
剂	劑
剐	剮
剑	劍
剥	剝
剧	劇
劝	勸
办	辦
务	務 𭄶 敄
劢	勱
动	動
励	勵
劲	勁
劳	勞
势	勢
勋	勳
勚	勩
匦	匭
匮	匱
区	區
医	醫
千	千 韆
升	㚈 昇 𭥧 陞
华	蕐 𦾓
协	劦
单	單
卖	賣 𧷵
卜	卜 蔔
卢	盧
卤	滷 鹵
卧	臥
卫	衛
却	卻
卷	卷 捲
卺	巹
厂	廠 厂
厅	廳
历	歷 曆
厉	厲
压	壓
厌	厭
厍	厙
厐	龎
厕	廁
厘	釐 厘
厢	廂
厣	厴
厦	廈
厨	廚
厩	𢋁
厮	廝
县	縣
参	參 薓
叆	靉
叇	靆
双	雙
发	㢭 髮
变	變 𣀵
叙	敍
叠	㬪
只	衹 隻 只
台	臺 檯 颱 台
叶	枼
号	號
叹	嘆 歎
叽	嘰
吁	籲 吁
合	合 閤
吊	弔
后	後 𨒥 后
向	向 𣢕 嚮 曏
吓	嚇
吗	嗎
吨	噸
听	聽 𦔻
吴	吳
呐	吶
呒	嘸
呓	寱 囈
呕	嘔
呖	嚦
呗	唄
员	員 𪔅
呙	咼
呛	嗆
呜	嗚
周	周 週 賙
咏	詠
咙	嚨
咛	嚀
咝	噝
咨	諮 咨
咸	鹹 咸
咽	咽 嚥
响	響
哑	啞
哒	噠
哓	嘵
哔	嗶
哕	噦
哗	譁 𧮉 嘩
哙	噲
哜	嚌
哝	噥
哟	喲
唇	脣 唇
唛	嘜
唝	嗊
唠	嘮
唡	啢
唢	嗩
啧	嘖
啬	嗇
啭	囀
啮	齧 嚙
啯	嘓
啰	囉
啴	嘽
啸	嘯
喂	喂 餧
喷	噴
喽	嘍
唤	喚
喾	嚳
嗫	囁
嗳	噯
嘘	噓
嘤	嚶
嘱	囑
噜	嚕
嚣	嚻
回	囘 迴 𮞉
团	團 糰
园	園
困	困 睏
囱	囪
围	圍
囵	圇
国	國
图	圖
圆	圓
圣	聖
圹	壙
场	場
坏	壞
块	凷 塊
坚	堅
坛	壇 罎
坜	壢
坝	壩 垻
坞	塢
坟	墳
坠	墜
垄	壠
垅	壠
垆	壚
垒	壘
垦	墾
垩	堊
垫	墊
垭	埡
垯	墶
垱	壋
垲	塏
垴	堖
埘	塒
埙	壎 塤
埚	堝
堑	塹
堕	墮
塆	壪
墙	牆
壮	壯 𪺟
声	聲
壳	殼
壶	壺
壸	壼
处	處
备	僃
复	復 𢕒 複 𧜰 覆 𧠃 复 𡕨 𠤇
够	夠
夫	夫 伕
头	頭
夸	誇 夸
夹	夾
夺	奪
奁	籢
奋	奮
奖	奬
奸	奸 姦
妆	妝
妇	婦
妈	媽
妩	嫵
妪	嫗
妫	嬀
姗	姍
姜	姜 薑
姹	奼
咤	吒
奂	奐
娄	婁
娅	婭
奥	奧
娆	嬈
娇	嬌
娈	孌
娱	娛
娲	媧
娴	嫺
婳	嫿
婴	嬰
婵	嬋
婶	嬸
媪	媼
媭	嬃
嫒	嬡
嫔	嬪
嫱	嬙
嬷	嬤
孙	孫 𭓂
学	𦥯
孪	孿
宁	寧 宁
宝	寶
实	實
宠	寵
审	審 𫳢
宫	宮
宪	憲 𡩜
家	家 傢
宽	寬
宾	賓 𡦼
寝	寑 𡨦
对	對
寻	尋
导	導
将	將
尔	爾 𤕨
尘	塵 𪋻
尝	嘗 嚐
尧	堯
尴	尷
尸	屍 尸 𡰣
尽	䀆 儘
层	層
屃	屓
屉	屜
届	屆
属	屬
屡	屢
屦	屨
屿	嶼
岁	歲
岂	豈
岖	嶇
岗	崗
岘	峴
岚	嵐
岛	㠀
岩	巖
岭	嶺
岳	岳 嶽
岽	崬
岿	巋
峃	嶨
峄	嶧
峡	峽
峣	嶢
峤	嶠
峥	崢
峦	巒
峰	峯
崂	嶗
崃	崍
崄	嶮
崭	嶄
嵘	嶸
嵚	嶔
嵝	嶁
巅	巓
巩	鞏 𩊳
巯	巰
币	幣
帅	帥 𫡆
师	師
帏	幃
帐	帳
帘	簾 帘
帜	幟
带	帶
帧	幀
帮	幫
帱	幬
帻	幘
帼	幗
幂	冪
干	幹 乾 干 榦 𣘒
并	竝 𡘋 併 并
幸	幸 𡴘 倖
涬	涬 𣸖
广	廣 广
庄	莊
庆	慶
床	爿
庐	廬
庑	廡
库	庫
应	應
庙	廟
庞	龐
废	廢
庼	廎
廪	廩
开	開
异	異 𠔱
弃	棄
张	張
弥	彌 瀰
弪	弳
弯	彎
弹	彈
归	歸
当	當 噹
录	錄 彔
彟	彠
彨	彲
彩	彩 綵
彻	徹
征	徵 征
径	徑
徕	徠
御	御 𰆍 禦
忆	憶
忏	懺
弑	弒
志	志 𢗍 誌
忧	㥑 𢝊 忧
念	念 唸
忾	愾
怀	褱
弘	弘 𪪺
态	態
怃	憮
怄	慪
怅	悵
怆	愴
怜	憐
总	總
怼	懟
怿	懌
恋	戀
恒	恆
恤	恤 卹
恳	懇
恶	惡 噁
恸	慟
恹	懨
恺	愷
恻	惻
恼	㛴
恽	惲
悦	悅
悫	愨
悬	懸
悭	慳
悮	悞
悯	憫
惊	驚
惧	懼
惨	慘
惩	懲
惫	憊
惬	愜
惭	慚
惮	憚
惯	慣
愈	愈 瘉
愠	慍
愤	憤
愦	憒
愿	願 愿
慑	懾
慭	憖
懑	懣
懒	懶
懔	懍
戆	戇
戋	戔
戏	戲
戗	戧
战	戰
戚	戚 慼
戬	戩
戯	戱
户	戶 𠁣
才	纔 才
扎	扎 紮
扑	撲
托	托 託
扣	扣 釦
执	執
扩	擴
扪	捫
扫	掃
扬	揚
扰	擾 𢺕
折	折 摺
抚	撫
抛	拋
抟	摶
抠	摳
抡	掄
抢	搶
护	護
报	報
抵	抵 牴
担	擔
拐	拐 柺
拟	擬
拢	攏
拣	揀
拥	擁
拦	攔
拧	擰
拨	撥
择	擇
挚	摯
挛	攣
挜	掗
挝	撾
挞	撻
挟	挾
挠	撓
挡	擋
挢	撟
挣	掙
挤	擠
挥	揮
挦	撏
捝	挩
捞	撈
损	損
捡	撿
换	換
捣	搗
据	據 据
掳	擄
掴	摑
掷	擲
掸	撣
掺	摻
掼	摜
揽	攬
揾	搵
揿	撳
搀	攙
搁	擱
搂	摟
搄	揯
搅	攪
携	攜
摄	攝
摅	攄
摆	擺 襬
摇	搖
摈	擯
摊	攤
撄	攖
撑	撐
撵	攆
撷	擷
撸	擼
撺	攛
擜	㩵
擞	擻
攒	攅
敌	敵
敚	敓
敛	斂
敩	斅
数	數
斋	齋
斓	斕
斗	鬥 𬼍 斗
斩	斬
断	斷
旋	旋 鏇
无	無 𣞤
时	時
旷	曠
旸	暘
昆	昆 𡘩 崑
昵	暱 昵
昼	晝
昽	曨
显	顯
晋	㬜
晒	曬
晓	曉
晔	曄
晕	暈
晖	暉
暂	暫
暅	𣈶
暧	曖
曲	曲 麴
术	術 朮
朱	朱 硃
朴	樸 朴
机	機
杀	殺
杂	雜
权	權
条	條
来	來
杨	楊
杩	榪
杯	桮
杰	傑 杰
松	松 鬆
板	板 闆
极	極 极
构	構
枞	樅
枢	樞
枣	棗 𠦪
枥	櫪
枧	梘
枨	棖
枪	槍
枫	楓
枭	梟
栅	柵
柜	匱 柜
柠	檸
柽	檉
标	標
栈	棧
栉	櫛
栊	櫳
栋	棟
栌	櫨
栎	櫟
栏	欄
树	樹
栖	棲
栗	慄 栗
样	樣
核	核 覈
栾	欒
桠	椏
桡	橈
桢	楨
档	檔
桤	榿
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
桪	樳
梦	㝱 夢
梼	檮
梾	棶
梿	槤
检	檢
棁	梲
棂	欞
椝	槼
椟	櫝
椠	槧
椢	槶
椤	欏
椫	樿
椭	橢
椮	槮
楼	樓
榄	欖
榅	榲
榇	櫬
榈	櫚
榉	櫸
槚	檟
槛	檻
槟	檳
槠	櫧
横	橫
樯	檣
樱	櫻
橥	櫫
橱	櫥
橹	櫓
橼	櫞
檩	檁
欢	歡
欤	歟
欧	歐
欲	欲 慾
歼	殲
殁	歿
殇	殤
残	殘
殒	殞
殓	殮
殚	殫
殡	殯
殴	毆
毁	毀 燬 譭
毂	轂
毕	畢
毙	斃
榝	樧
毡	氈
毵	毿
毶	𣯶
氇	氌
氢	氫
氩	氬
氲	氳
汇	匯 彙 𢑷
汉	漢
汤	湯
汹	洶
沄	澐
沈	沈 瀋
沟	溝
没	沒 𠬸
沣	灃
沤	漚
沥	瀝
沦	淪
沧	滄
沨	渢
沩	潙
沪	滬
泞	濘
注	注 註
泪	淚
泶	澩
泷	瀧
泸	瀘
泺	濼
泻	瀉
泼	潑
泽	澤
泾	涇
洁	潔
洒	灑
洼	窪
浃	浹
浅	淺
浆	漿
浇	澆
浈	湞
浉	溮
浊	濁
测	測
浍	澮
济	濟
浏	瀏
浐	滻
浑	渾
浒	汻
浓	濃
浔	潯
浕	濜
涂	塗 涂
涚	涗
涛	濤
涝	澇
涞	淶
涟	漣
涠	潿
涡	渦
涢	溳
涣	渙
涤	滌
润	潤
涧	㵎
涨	漲
涩	歰
淀	澱 淀
渊	囦
渌	淥
渍	漬
渎	瀆
渐	漸
渑	澠
渔	漁
渖	瀋
渗	滲
温	溫 𰤹
游	斿 遊 游
湾	灣
湿	溼 𤃁 濕
溁	濚
溃	潰
溅	濺
溆	漵
溇	漊
滗	潷
滚	滾
滞	滯
滟	灩
滠	灄
满	滿
滢	瀅
滤	濾
滥	濫
滦	灤
滨	濱
滩	灘
滪	澦
漓	漓 灕
潆	瀠
潇	瀟
潋	瀲
潍	濰
潜	潛
潴	瀦
澛	瀂
澜	瀾
濑	瀨
灏	灝
灭	烕 滅
灯	燈
灵	靈 𬰑
灶	竈 𥩋
灾	災 𡿧 𢦏 𢦒 灾
灿	燦
炀	煬
炉	爐
炖	燉
炜	煒
炝	熗
点	點
炼	煉 鍊
炽	熾
烁	爍
烂	爛
烃	烴
烛	燭
烟	煙 菸
烦	煩
烧	燒
烨	燁
烩	燴
烫	燙
烬	㶳
热	熱 𤎮
焕	煥
焖	燜
焘	燾
煴	熅
熏	燻 熏 𡽽
爱	㤅 𢙴
爷	爺
牍	牘
牦	犛
牵	牽
牺	犧
犊	犢
状	狀
犷	獷
犸	獁
犹	猶
狈	狽
狝	獮
狞	獰
独	獨
狭	狹
狮	獅
狯	獪
狰	猙
狱	獄
狲	猻
猃	獫
猎	獵
猕	獼
猡	玀
猪	豬
猫	貓
献	獻
獭	獺
玑	璣
玙	璵
玚	瑒
玛	瑪
玩	玩 翫
玮	瑋
环	環 𤪹
现	現
玱	瑲
玺	璽
珐	琺
珑	瓏
珰	璫
珲	琿
琎	璡
琏	璉
琐	瑣
琼	瓊
瑶	瑤
瑷	璦
瑸	璸
璎	瓔
瓒	瓉
瓯	甌
画	畵
畅	暢
畴	𤲮
疖	癤
疗	療
疟	瘧
疠	癘
疡	瘍
疬	癧
疭	瘲
疮	瘡
疯	瘋
疱	皰
症	症 癥
痈	癰
痉	痙
痒	癢
痖	瘂
痨	癆
痪	瘓
痫	癇
痴	癡
瘅	癉
瘆	瘮
瘗	瘞
瘘	瘻
瘪	癟
瘫	癱
瘾	癮
瘿	癭
癞	癩
癣	癬
癫	癲
皂	皁
皑	皚
皱	皺
皲	皸
盏	盞
盐	鹽 𪉟
监	監
盖	蓋
盗	盜
盘	盤
眍	瞘
眦	眥
眬	矓
睁	睜
睐	睞
睑	瞼
瞆	瞶
瞒	瞞
瞩	矚
矩	榘
矫	矯
矶	磯
矾	礬
矿	礦
砀	碭
码	碼
砖	磚
砗	硨
砚	硯
砜	碸
砺	礪
砻	礱
砾	礫
础	礎
硁	硜
硕	碩
硖	硤
硗	磽
硙	磑
硚	礄
确	確 确
硵	磠
硷	礆
碍	礙
碛	磧
碜	磣
碱	鹼
礼	禮 𥜨
祃	禡
祎	禕
祢	禰
祯	禎
祷	禱
祸	禍
禀	稟
禄	祿
禅	禪
离	離 𬯭
秃	禿
秆	稈
杆	桿 杆
种	種 种
秘	祕 秘
积	積 𥢼
称	稱
秽	穢
秾	穠
税	稅
稣	穌
稳	穩
穑	穡
穞	穭
穷	竆
躬	躳
窃	竊
窍	竅
窎	窵
窑	窯
窜	竄
窝	窩
窥	窺
窦	竇 𥩐
窭	窶
竖	豎
竞	競
笃	篤
笋	筍
笔	筆
笕	筧
笺	箋
笼	籠
笾	籩
筑	築 𥲒 筑
筚	篳
筛	篩
筜	簹
筝	箏
筹	籌
筼	篔
签	籤 簽
筿	篠
简	簡 𥳑
箓	籙
箦	簀
箧	匧
箨	籜
箩	籮
箪	簞
箫	簫
篑	簣
篓	簍
篮	籃
篯	籛
篱	籬
簖	籪
籁	籟
籴	糴
类	類
粜	糶
粝	糲
粤	粵 𡩭
粪	糞
粮	糧
粽	糉
糁	糝
糇	餱
糍	餈
系	系 𦃟 係 繫
紧	緊
絷	縶
縆	緪
𬘵	緪
纟	糹
纠	糾
纡	紆
红	紅
纣	紂
纤	纖 縴
纥	紇
约	約
级	級
纨	紈
纩	纊
纪	紀
纫	紉
纬	緯
纭	紜
纮	紘
纯	純
纰	紕
纱	紗
纲	綱
纳	納
纴	紝
纶	綸
纷	紛
纸	紙
纹	紋
纺	紡
纻	紵
纼	紖
纽	紐
纾	紓
线	綫
缐	線
绀	紺
绁	紲
绂	紱
练	練
组	組
绅	紳 𤕌
细	細 𥿳
织	織
终	終
绉	縐
绊	絆
绋	紼
绌	絀
绍	紹
绎	繹
经	經
绐	紿
绑	綁
绒	絨
结	結
绔	絝
绕	繞
绖	絰
绗	絎
绘	繪
给	給
绚	絢
绛	絳
络	絡
绝	糿
绞	絞
统	統
绠	䌄
绡	綃
绢	絹
绣	繡
绤	綌
绥	綏
绦	絛
继	繼
绨	綈
绩	績
绪	緒
绫	綾
绬	緓
续	續
绮	綺
绯	緋
绰	綽
绱	鞝 緔
绲	緄
绳	繩
维	維
绵	緜
绶	綬
绷	繃
绸	綢
绹	綯
绺	綹
绻	綣
综	綜
绽	綻
绾	綰
绿	綠
缀	綴
缁	緇
缂	緙
缃	緗
缄	緘
缅	緬
缆	纜
缇	緹
缈	緲
缉	緝
缊	縕
缋	繢
缌	緦
缍	綞
缎	緞
缏	緶
缑	緱
缒	縋
缓	緩
缔	締
缕	縷
编	編
缗	緡
缘	緣
缙	縉
缚	縛
缛	縟
缜	縝
缝	縫
缞	縗
缟	縞
缠	纏
缡	縭
缢	縊
缣	縑
缤	繽
缥	縹
缦	縵
缧	縲
缨	纓
缩	縮
缪	繆
缫	繅
缬	纈
缭	繚
缮	繕
缯	繒
缰	繮
缱	繾
缲	繰
缳	繯 𦇏
缴	繳
缵	纉
罂	罌
罗	䍜 𦋜
罚	罰
罢	罷
罴	羆
羁	羈
羟	羥
羡	羨
群	羣
翘	翹
翙	翽
翚	翬
耢	耮
耧	耬
耻	恥
聂	聶
聋	聾
职	職
聍	聹
联	䏈 𦔷 𫠩
聩	聵
聪	聰
肃	肅
肠	腸
肤	膚
肮	骯 肮
肴	餚
肾	腎
肿	腫
胀	脹
胁	脅
胄	胄 冑
胆	膽
背	背 揹 褙
胜	勝 胜
胡	胡 鬍 衚
胧	朧
胨	腖
胪	臚
胫	脛
胶	膠
脉	脈
脍	膾
脏	髒 臟
脐	臍
脑	匘
脓	膿
脔	臠
脚	腳
脱	脫
脶	腡
脸	臉
腊	臘 腊
腌	醃 腌
腘	膕
腭	齶
腻	膩
腼	靦
腽	膃
腾	騰
膑	臏
膻	羴 膻
臜	臢
致	致 緻
舆	輿
舍	捨 舍
舣	艤
舰	艦
舱	艙
舻	艫
艰	艱 𰌌
艳	豔
艺	埶 𡎐
节	節
芗	薌
芜	蕪
芦	蘆
芸	芸 蕓
苁	蓯
苇	葦
苈	藶
苋	莧
苌	萇
苍	蒼
苎	苧
苏	蘇 甦 𤯳 囌
苔	苔 薹
苧	薴
苹	蘋 苹
范	範 范
茎	莖
茏	蘢
茑	蔦
茔	塋
茕	煢
茧	繭
荆	荊
荐	薦 𧂑 荐
荙	薘
荚	莢
荛	蕘
荜	蓽
荝	萴
荞	蕎
荟	薈
荠	薺
荡	蕩 盪
荣	榮
荤	葷
荥	滎
荦	犖
荧	熒 𬊇
荨	蕁
荩	藎
荪	蓀
荫	蔭 廕
荬	蕒
荭	葒
荮	葤
药	藥 葯
莱	萊
莲	蓮
莳	蒔
莴	萵
莶	薟
获	獲 穫
莸	蕕
莹	瑩
莺	鶯
莼	蓴
萚	蘀
萝	蘿
萤	螢
营	營
萦	縈
萧	蕭
萨	薩
葱	蔥
蒀	蒕
蒇	蕆
蒉	蕢
蒋	蔣
蒌	蔞
蒏	醟
蒙	蒙 矇 濛 懞 冡
蓝	藍
蓟	薊
蓠	蘺
蓣	蕷
蓥	鎣
蓦	驀
蔂	虆
蔑	蔑 衊
蔷	薔 蘠
蔹	蘞
蔺	藺
蔼	藹
蕰	薀
蕲	蘄
蕴	蘊
薮	藪
藓	蘚
藴	蘊
蘖	櫱
虏	虜
虑	慮
虚	虗 𧆳
虫	蟲 虫
虬	虯
虮	蟣
虱	蝨
虽	雖
虾	蝦
虿	蠆
蚀	蝕
蚁	蟻
蚂	螞
蚃	蠁
蚕	蠶
蚝	蠔 蛓 蚝
蚬	蜆
蛊	蠱
蛎	蠣
蛏	蟶
蛮	蠻
蛰	蟄
蛱	蛺
蛲	蟯
蛳	螄
蛴	蠐
蜕	蛻
蜗	蝸
蜡	蠟 蜡
蝇	蠅
蝈	蟈
蝉	蟬
蝼	螻
蝾	蠑
螀	螿
螨	蟎
蟏	蠨
衅	釁
衔	銜
补	補
表	表 𧘝 錶
衬	襯
袄	襖
袅	嫋 裊 褭
袆	褘
袜	韤
袭	襲 𲀭
袯	襏
装	裝
裆	襠
裈	褌
裢	褳
裣	襝
裤	褲
裥	襉
褛	褸
褴	襤
襕	襴
见	見
观	觀
觃	覎
规	規
觅	覓
视	視
觇	覘
览	覽
觉	覺
觊	覬
觋	覡
觌	覿
觍	覥
觎	覦
觏	覯
觐	覲
觑	覷
觞	觴
触	觸
觯	觶
訚	誾
詟	讋
誉	譽
誊	謄
讠	訁
计	計
订	訂
讣	訃
认	認
讥	譏
讦	訐
讧	訌
讨	討
让	讓
讪	訕
讫	訖
讬	託
训	訓
议	議
讯	訊
记	記
讱	訒
讲	講
讳	諱
讴	謳
讵	詎
讶	訝
讷	訥
许	許
讹	訛
论	論
讻	訩
讼	訟
讽	諷
设	設
访	訪
诀	訣
证	證 証
诂	詁
诃	訶
评	評
诅	詛
识	識
诇	詗
诈	詐
诉	訴
诊	診
诋	詆
诌	謅
词	詞
诎	詘
诏	詔
诐	詖
译	譯
诒	詒
诓	誆
诔	誄
试	試
诖	詿
诗	詩
诘	詰
诙	詼
诚	誠
诛	誅
诜	詵
话	䛡
诞	誕
诟	詬
诠	詮
诡	詭
询	詢
诣	詣
诤	諍
该	該
详	詳
诧	詫
诨	諢
诩	詡
诪	譸
诫	誡
诬	誣
语	語
诮	誚
误	誤
诰	誥
诱	誘
诲	誨
诳	誑
说	說
诵	誦
诶	誒
请	請
诸	諸
诹	諏
诺	諾
读	讀
诼	諑
诽	誹
课	課
诿	諉
谀	諛
谁	誰
谂	諗
调	調
谄	讇
谅	諒
谆	諄
谇	誶
谈	談
谉	讅
谊	誼
谋	謀
谌	諶
谍	諜
谎	謊
谏	諫
谐	諧
谑	謔
谒	謁
谓	謂
谔	諤
谕	諭
谖	諼
谗	讒
谘	諮
谙	諳
谚	諺
谛	諦
谜	謎
谝	諞
谞	諝
谟	謨
谠	讜
谡	謖
谢	謝
谣	謠
谤	謗
谥	諡
谦	謙
谧	謐
谨	謹
谩	謾
谫	譾
谬	謬
谭	譚
谮	譖
谯	譙
谰	讕
谱	譜
谲	譎
谳	讞
谴	譴
谵	譫
谶	讖
谷	谷 穀
豮	豶
贝	貝
贞	鼑
负	負
贠	貟
贡	貢
财	財
责	責 𧵩
贤	孯 賢
败	敗
账	賬
货	貨
质	質
贩	販
贪	貪
贫	貧
贬	貶
购	購
贮	貯
贯	貫
贰	貳
贱	賤
贲	賁
贳	貰
贴	貼
贵	䝿
贶	貺
贷	貸
贸	貿
费	費
贺	賀
贻	貽
贼	賊
贽	贄
贾	賈 𧵒
贿	賄
赀	貲
赁	賃
赂	賂
赃	贓
资	資
赅	賅
赆	贐
赇	賕
赈	賑
赉	賚
赊	賒
赋	賦
赌	賭
赍	齎
赎	贖
赏	賞
赐	賜
赑	贔
奰	𡚤
赒	賙
赓	賡
赔	賠
赕	賧
赖	賴
赗	賵
赘	贅
赙	賻
赚	賺
赛	賽
赜	賾
赝	贗
赞	讃 賛
赟	贇
赠	贈
赡	贍
赢	贏
赣	赣 𬔧
赪	赬
赵	趙
赶	趕
趋	趨
趱	趲
趸	躉
跃	躍
跄	蹌
跞	躒
践	踐
跶	躂
跷	蹺
跸	蹕
跹	躚
跻	躋
踌	躊
踪	蹤 𧿛
踬	躓
踯	躑
蹑	躡
蹒	蹣
蹰	躕
蹿	躥
躏	躪
躜	躦 𨇃
躯	軀
輼	轀
车	車
轧	軋
轨	軌
轩	軒
轪	軑
轫	軔
转	轉
轮	輪
软	軟
轰	轟
轱	軲
轲	軻
轳	轤
轴	軸
轵	軹
轶	軼
轷	軤
轸	軫
轹	轢
轺	軺
轻	輕
轼	軾
载	載
轾	輊
轿	轎
辀	輈
辁	輇
辂	輅
较	較 䡈
辄	輒
辅	輔
辆	輛
辇	輦
辈	輩
辉	輝
辊	輥
辋	輞
辌	輬
辍	輟
辎	輜
辏	輳
辐	輻
辑	輯
辒	轀
输	輸
辔	轡
辕	轅
辖	轄
辗	輾
辘	轆
辙	轍
辚	轔
辞	辭
辟	闢 辟
辩	辯
辫	辮
边	邊
辽	遼
达	達 𨔶
迁	遷 𨙞
过	過
迈	邁
运	運 𨔪
还	還 𨘣
这	這
进	進
远	遠
违	違
连	連
迟	遲
迩	邇
迳	逕
适	適 适
选	選
逊	遜
递	遞
逦	邐
逻	𨗴
遗	遺
遥	遙
邓	鄧
邝	鄺
邬	鄔
邮	郵
邹	鄒
邺	鄴
邻	鄰 𨞧
郁	鬱 郁 𩰪
郏	郟
郐	鄶
郑	鄭
郓	鄆
郦	酈
郧	鄖
郸	鄲
酂	酇
酝	醞
酦	醱
酱	醬 𤖕
酸	酸 痠
酽	釅
酾	釃
酿	釀
醖	醞
采	采 寀
释	釋
里	裏 里
鉴	鑑
銮	鑾
錾	鏨
钅	釒
钆	釓
钇	釔
针	鍼 針
钉	釘
钊	釗
钋	釙
钌	釕
钍	釷
钎	釺
钏	釧
钐	釤
钑	鈒
钒	釩
钓	釣
钔	鍆
钕	釹
钖	鍚
钗	釵
钘	鈃
钙	鈣
钚	鈈
钛	鈦
钜	鉅
钝	鈍
钞	鈔
钟	鍾 鐘
钠	鈉
钡	鋇
钢	鋼
钣	鈑
钤	鈐
钥	鑰 鈅
钦	欽
钧	鈞
钨	鎢
钩	鉤
钪	鈧
钫	鈁
钬	鈥
钭	鈄
钮	鈕
钯	鈀
钰	鈺
钱	錢
钲	鉦
钳	鉗
钴	鈷
钵	盋
钶	鈳
钷	鉕
钸	鈽
钹	鈸
钺	鉞
钻	鑚 鉆
钼	鉬
钽	鉭
钾	鉀
钿	鈿
铀	鈾
铁	鐵 𨮯
铂	鉑
铃	鈴
铄	鑠
铅	鉛
铆	鉚
铇	鉋
铈	鈰
铉	鉉
铊	鉈
铋	鉍
铌	鈮
铍	鈹
铎	鐸
铏	鉶
铐	銬
铑	銠
铒	鉺
铓	鋩
铔	錏
铕	銪
铖	鋮
铗	鋏
铘	鋣
铙	鐃
铚	銍
铛	鐺
铜	銅
铝	鋁
铞	銱
铟	銦
铠	鎧
